Player,PER▼,TS%,USG%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
Andrew Wiggins,12.4,0.493,24.4,-0.6,1.3,0.6,-1.2,-1.8,-3,-0.6
Bruno Caboclo,12.4,0.571,15.9,0.6,0.9,1.5,-1.1,0.1,-1.1,0.2
Kris Dunn,12.4,0.484,20.1,-0.5,1.2,0.6,-2.8,0.2,-2.7,-0.2
Shaquille Harrison,12.4,0.494,16.5,-0.1,1.6,1.4,-2.8,1.5,-1.3,0.2
Frank Mason III,12.4,0.502,21.8,0,0.3,0.3,-1.9,-1.3,-3.1,-0.1
Omari Spellman,12.4,0.516,14.9,0.6,0.5,1.2,-0.5,-0.7,-1.2,0.2
Jarred Vanderbilt,12.4,0.513,19.4,-0.1,0.1,0.1,-5.2,1,-4.2,0
Guerschon Yabusele,12.4,0.542,17.5,0.2,0.3,0.5,-2.5,-0.2,-2.7,0
Evan Fournier,12.3,0.536,22.1,0.8,2.5,3.2,-1.8,-0.6,-2.4,-0.3
Rodney Hood,12.3,0.545,18.1,2.1,0.5,2.6,-1.2,-0.8,-2,0
Dennis Smith Jr.,12.3,0.502,24.8,-1.2,1.2,0,-1.6,-0.4,-1.9,0
Kosta Koufos,12.3,0.477,15.7,0,0.7,0.7,-3.6,0.2,-3.4,-0.2
Eric Gordon,12.2,0.549,22,1.7,1,2.6,0.5,-1.8,-1.3,0.4
Gary Harris,12.2,0.526,20,1.1,1.5,2.6,-1.2,-0.4,-1.6,0.2
Danuel House Jr.,12.2,0.646,14.1,1.6,0.7,2.3,0.1,-0.5,-0.5,0.4
Jaylen Morris,12.2,0.46,17.2,0,0.1,0.1,-3.7,3.3,-0.4,0
Alex Poythress,12.2,0.571,14.2,0.4,0.2,0.5,-2.5,-1,-3.5,-0.1
Allonzo Trier,12.2,0.564,21.5,0.4,0.5,0.9,-1.6,-1.5,-3.1,-0.4
Trevor Ariza,12.1,0.534,16.6,1.3,1.2,2.5,-0.7,-0.6,-1.3,0.4
DeMarre Carroll,12.1,0.546,18.6,1.5,1.6,3.1,-0.9,-0.6,-1.5,0.2
Jae Crowder,12.1,0.538,19.1,1.3,3.1,4.4,-0.3,0.6,0.3,1.2
George Hill,12.1,0.554,15.1,1.5,1.3,2.8,-1.9,0.5,-1.4,0.2
Jemerrio Jones,12.1,0.398,11.3,0,0.2,0.2,-2.2,2.4,0.2,0.1
Rajon Rondo,12.1,0.473,17.4,-0.2,1.5,1.3,-1.7,0.2,-1.5,0.2
Thabo Sefolosha,12.1,0.599,12.9,0.2,1.2,1.5,-1.6,3.1,1.5,0.5
Bryn Forbes,12,0.586,17.4,2.5,1.3,3.8,-0.3,-0.9,-1.2,0.5
Collin Sexton,12,0.52,25.2,-0.1,-0.5,-0.6,-1.4,-3.3,-4.7,-1.8
Ian Mahinmi,12,0.531,12.9,0.5,0.5,1,-3.5,0.6,-3,-0.1
Nicolas Batum,11.9,0.581,13.2,2,1.7,3.7,-0.7,0.4,-0.3,1
Kent Bazemore,11.9,0.507,22,-0.7,1.4,0.7,-2.5,0.2,-2.3,-0.1
Marco Belinelli,11.9,0.557,19.8,1.4,1.1,2.5,-0.5,-1.2,-1.7,0.1
Taurean Prince,11.9,0.575,19.5,0.8,0.7,1.5,-1,-1,-2,0
Nenê,11.9,0.552,11.7,0.8,0.6,1.4,-3.1,0.9,-2.2,0
