FULL NAME,MPG,USG%,FT%,3P%,eFG%,PPG,RPG,APG,SPG,BPG,TO,VI,ORTG,DRTG
Chandler Hutchison,20.3,12.2,0.605,0.28,0.493,5.2,4.2,0.8,0.52,0.14,0.57,5.1,102.1,109.2
Brandon Knight,9.8,20.9,0.818,0.156,0.287,3,0.8,0.8,0.17,0,0.42,5.1,78.7,104.9
Anthony Tolliver,16.6,12.5,0.783,0.377,0.539,5,2.7,0.7,0.26,0.32,0.55,5.1,109.8,108.2
Davon Reed,4.7,12.1,0,0.5,0.5,1.2,0.6,0.3,0.1,0,0.1,5.1,108.2,106.3
Jared Dudley,20.7,10.4,0.696,0.351,0.533,4.9,2.6,1.4,0.61,0.27,0.73,5,110.2,102.7
Wayne Ellington,21.3,16.5,0.875,0.368,0.53,8.4,1.9,1.2,0.96,0.12,0.56,5,110.3,104.8
Ryan Anderson,18.5,12.1,0.786,0.206,0.375,3.7,3,1.1,0.2,0.07,0.8,5,91.8,112.9
Iman Shumpert,19.1,12.7,0.5,0.296,0.454,4.6,2.7,1.1,0.55,0.2,0.6,5,96.2,105.5
Allen Crabbe,26.4,16.4,0.732,0.378,0.5,9.6,3.4,1.1,0.53,0.3,1.07,5,100.5,104.5
Patrick McCaw,13.2,9.3,0.867,0.333,0.519,2.7,1.7,1,0.81,0.12,0.54,5,110.2,99
CJ Miles,14.1,18.8,0.795,0.314,0.444,5.5,1.7,0.6,0.48,0.23,0.53,5,97.2,100.7
Hamidou Diallo,10.3,16.6,0.61,0.167,0.467,3.7,1.9,0.3,0.41,0.2,0.45,5,102.8,96.4
Darius Miller,25.5,13.4,0.789,0.365,0.528,8.2,1.8,2.1,0.58,0.33,0.86,4.9,109.6,109.2
Wayne Ellington,27.3,17.7,0.758,0.373,0.57,12,2.1,1.5,1.07,0.11,0.93,4.9,113.9,106.4
Justin Holiday,29.1,16.3,0.9,0.333,0.474,9.5,3.5,1.4,1.23,0.34,1.3,4.9,96.8,106.4
Langston Galloway,21.8,16.1,0.844,0.354,0.503,8.4,2.1,1.1,0.46,0.1,0.3,4.9,115.4,106.5
CJ Miles,22.6,18.2,0.929,0.364,0.514,9.3,2.1,1.1,0.62,0.38,0.69,4.9,104.3,108.8
Treveon Graham,20.4,12.8,0.818,0.297,0.435,5.3,3,1,0.37,0.2,0.49,4.9,99.6,104.1
Dillon Brooks,18.3,20.9,0.733,0.375,0.463,7.5,1.7,0.9,0.56,0.22,1.06,4.9,94.2,98.5
Quincy Acy,12.3,9.2,0.7,0.133,0.278,1.7,2.5,0.8,0.1,0.4,0.4,4.9,87.1,98.5
Sindarius Thornwell,4.9,11.3,0.735,0.2,0.378,1,0.7,0.3,0.22,0.11,0.31,4.9,87.9,100.8
