Player,PER,TS%,USG%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
Malcolm Brogdon,18.2,0.615,22.8,3.6,2.2,5.8,2.3,0.6,2.8,2.1
Dillon Brooks,9.4,0.494,21.8,-0.8,2.4,1.6,-3.4,-0.5,-3.9,-1.1
Bruce Brown,13.3,0.571,17.8,1.7,2.6,4.3,-1.1,0.6,-0.5,0.9
Greg Brown III,5.8,0.421,18.4,-0.3,0.1,-0.1,-8.5,0,-8.5,-0.2
Jaylen Brown,19.1,0.581,31.4,1.6,3.4,5,1.5,-0.2,1.3,2
Kendall Brown,9.1,0.571,10.4,0,0.1,0.1,-7,4,-2.9,0
Moses Brown,22.2,0.607,21.2,0.7,0.4,1.1,0.6,-1.2,-0.6,0.1
Sterling Brown,7,0,7,0,0.1,0,-7.7,4.3,-3.3,0
Troy Brown Jr.,9.6,0.561,12.1,1,2,2.9,-1.8,0.8,-1,0.5
Jalen Brunson,21.2,0.597,27.2,6.9,1.8,8.7,4.4,-0.5,3.9,3.5
Thomas Bryant,19.7,0.682,18.2,2.7,1.4,4.1,1.1,-0.5,0.6,0.7
Reggie Bullock,7.7,0.577,10,1.3,1.4,2.8,-2.3,-0.3,-2.6,-0.4
Alec Burks,16.5,0.602,22.8,1.9,0.6,2.5,1.8,-0.5,1.2,0.9
Deonte Burton,-12.6,0,14.3,0,0,0,-13.9,-10.4,-24.2,0
Jared Butler,13,0.578,20.1,0,0.1,0.1,-2.2,-0.4,-2.6,0
Jimmy Butler,27.6,0.647,25.6,9.4,2.9,12.3,6.7,2,8.7,5.8
John Butler,5.7,0.411,11,-0.1,0.1,0,-5.4,-0.8,-6.2,-0.2
Jamal Cain,16.5,0.647,15.1,0.5,0.3,0.8,-0.5,1.3,0.8,0.2
Kentavious Caldwell-Pope,11.5,0.598,14.1,2,2.5,4.5,-1.6,0.6,-1,0.6
Facundo Campazzo,7.8,0.36,14.7,-0.1,0.1,0,-4.8,3.6,-1.2,0
Vlatko Čančar,11,0.606,13.8,0.9,0.8,1.7,-1.7,-0.1,-1.8,0
Clint Capela,22.1,0.656,15.7,4.9,2.4,7.2,2.3,-0.1,2.2,1.8
Vernon Carey Jr.,10.8,0.338,16.9,-0.1,0.1,0,-7.1,2.1,-5,0
Jevon Carter,10.9,0.56,15.3,1.2,2.3,3.5,-1.9,1.2,-0.6,0.6
Wendell Carter Jr.,17.3,0.621,20.5,2.6,2,4.6,0.9,0.1,1,1.3
Michael Carter-Williams,9,0.498,20.6,0,0,0,-5.1,-1.2,-6.3,0
Alex Caruso,11.5,0.588,11.1,1,2.6,3.6,-2.2,3.3,1.1,1.2
Julian Champagnie,13.4,0.6,19.2,0.3,0.1,0.4,-0.6,-2.7,-3.3,-0.1
Justin Champagnie,10.3,0.367,19.2,0,0,0,-5.1,-2.8,-7.9,-0.1
Kennedy Chandler,10.6,0.44,15.8,-0.1,0.4,0.3,-3.3,0.6,-2.7,0
Max Christie,7.4,0.566,10.4,0.1,0.5,0.6,-3.2,0,-3.1,-0.1
Josh Christopher,11.5,0.523,21.9,-0.3,0.3,0,-3,-1.4,-4.3,-0.5
Brandon Clarke,20,0.682,17.7,2.7,1.8,4.5,0.8,1.8,2.5,1.3
Jordan Clarkson,14.7,0.558,27.8,0.9,0.8,1.7,1,-2.4,-1.4,0.3
Nic Claxton,20.8,0.691,15.4,5.2,4,9.2,0.9,2.2,3.1,2.9
Amir Coffey,7,0.498,13.5,0.1,0.3,0.4,-4.3,-0.7,-5,-0.5
John Collins,13.6,0.593,17.1,2.1,2.1,4.2,-1.4,0.2,-1.3,0.4
Zach Collins,16.4,0.599,21.2,1.2,1,2.2,-0.5,0.3,-0.2,0.6
Chance Comanche,12.2,0.518,14,0,0,0,-2.6,-4.9,-7.5,0
Mike Conley,14.7,0.583,16.3,4.1,1.4,5.5,1,-0.1,0.9,1.5
Pat Connaughton,10,0.531,13.8,0.7,1.8,2.5,-1.3,0.3,-1,0.3
Xavier Cooks,14.3,0.586,13.9,0.1,0.2,0.2,-3.2,-0.4,-3.6,-0.1
Robert Covington,14.2,0.584,15.6,0.7,1.2,1.9,-0.5,2.1,1.7,0.7
Torrey Craig,11.6,0.566,13,1.5,2.5,4,-1.3,0.7,-0.6,0.7
Jae Crowder,14.6,0.624,13.2,0.7,0.5,1.2,0.1,1.1,1.2,0.3
Jarrett Culver,9.5,0.452,17.1,-0.1,0.2,0,-4.8,0.6,-4.2,-0.1
Cade Cunningham,14,0.492,30,-0.4,0.2,-0.1,-0.1,-0.6,-0.7,0.1
Seth Curry,12.3,0.593,19.2,0.9,0.9,1.8,-1.2,-0.9,-2.1,0
Stephen Curry,24.1,0.656,31,5.8,2,7.8,7.5,0.1,7.5,4.7
Dyson Daniels,8.8,0.503,11.6,-0.1,1.4,1.3,-3.4,1.6,-1.8,0
Anthony Davis,27.8,0.627,28.4,5.5,3.4,9,4.6,1.7,6.3,4
Johnny Davis,7.2,0.446,20.5,-0.6,0.3,-0.3,-5.8,-1.7,-7.4,-0.6
Terence Davis,12.9,0.563,22.2,0,0.9,0.9,-1.3,-0.3,-1.5,0.1
JD Davison,10.1,0.478,15.8,0,0.1,0.1,-4.5,0.4,-4.2,0
Darius Days,18.3,0.582,21.4,0.1,0,0.1,4.7,-1.2,3.5,0
Dewayne Dedmon,15.5,0.577,20.6,0.3,0.7,1,-2.6,1,-1.6,0
Matthew Dellavedova,6.7,0.443,12.7,0,0.1,0.1,-4.4,-0.8,-5.2,-0.2
DeMar DeRozan,20.6,0.592,27.8,5.4,3.2,8.5,1.7,0.3,2,2.6
Moussa Diabaté,14.2,0.546,14.1,0.2,0.2,0.4,-1.9,-0.8,-2.8,0
Mamadi Diakite,9,0.56,16,-0.1,0.3,0.2,-4.9,1.6,-3.4,-0.1
Hamidou Diallo,15.7,0.593,21.8,0.4,0.9,1.3,-1.8,0.4,-1.4,0.1
Gorgui Dieng,9.9,0.493,17.9,-0.2,0.2,0,-4,0.1,-3.9,-0.2
Ousmane Dieng,9.3,0.505,15.9,-0.1,0.6,0.4,-3.1,-0.5,-3.6,-0.2
Spencer Dinwiddie,16,0.573,22.1,4.5,1.8,6.3,1.6,-0.9,0.7,1.8
Donte DiVincenzo,12.8,0.593,15.1,1.9,2.3,4.2,-0.6,1.3,0.7,1.3
Luka Dončić,28.7,0.609,37.6,7.3,2.9,10.2,7.6,1.4,8.9,6.6
Tyler Dorsey,45.5,0.9,28.3,0.1,0,0.1,17,0.8,17.8,0
Luguentz Dort,11.3,0.513,19.8,0.9,2.1,2.9,-2,-1,-3,-0.6
Ayo Dosunmu,10.2,0.567,14.9,0.7,2.2,2.9,-3,0.6,-2.5,-0.2
Devon Dotson,4.8,0.15,10.7,-0.1,0.1,0,-7,1.8,-5.3,0
Jeff Dowtin,9.9,0.5,10.9,0.2,0.2,0.4,-2.8,0.9,-1.9,0
PJ Dozier,5.2,0.333,20.6,-0.3,0.1,-0.2,-8.6,0.7,-7.8,-0.1
Goran Dragić,10.3,0.514,21.1,-0.3,0.7,0.4,-2.1,-1.8,-3.9,-0.4
Andre Drummond,20.8,0.606,21,0.8,2,2.8,-1.2,0.5,-0.8,0.3
Chris Duarte,8.6,0.496,19,-0.5,0.4,0,-2.9,-1.6,-4.5,-0.6
David Duke Jr.,8.3,0.497,20.1,-0.3,0.2,-0.1,-6.3,-1,-7.3,-0.3
Kris Dunn,19.1,0.606,20.2,1.3,0.6,1.9,0.7,1.7,2.4,0.6
Kevin Durant,25.9,0.677,30.7,4.7,2.1,6.8,6,1.2,7.1,3.9
Jalen Duren,17.3,0.655,14.3,2.9,1.6,4.5,-0.4,-0.4,-0.8,0.5
Tari Eason,15.2,0.525,19.3,0.9,1.7,2.6,-1.3,-0.4,-1.7,0.1
Anthony Edwards,17.4,0.564,29.9,0.2,3.6,3.8,1,0,1,2.1
Kessler Edwards,8.4,0.502,12.7,0.1,0.3,0.4,-3.2,-0.7,-3.9,-0.2
Keon Ellis,14,0.629,12.1,0.2,0.1,0.2,-0.1,1.4,1.3,0.1
Joel Embiid,31.4,0.655,37,8.4,3.9,12.3,6.8,2.3,9.2,6.4
Drew Eubanks,16.2,0.666,12.5,2.9,1.6,4.4,-0.9,0.9,0.1,0.8
Bruno Fernando,16.6,0.571,16.3,0.5,0.4,0.9,-2.8,0.7,-2,0
Dorian Finney-Smith,9.2,0.523,13.2,0.6,1.6,2.1,-1.7,-0.3,-2,0
Malachi Flynn,8.7,0.479,17.4,0,0.5,0.5,-3.3,-0.8,-4.1,-0.4
Simone Fontecchio,8,0.495,20.2,-0.4,0.3,-0.1,-3,-2.1,-5.2,-0.6
Bryn Forbes,6.2,0.497,16.2,-0.2,0.2,0,-4.8,-1.5,-6.3,-0.3
Trent Forrest,6.1,0.424,11.6,-0.2,0.2,-0.1,-5.3,0.2,-5.1,-0.2
Michael Foster Jr.,0,,0,0,0,0,-7.2,-1.9,-9.2,0
Evan Fournier,6.9,0.471,18.4,-0.3,0.4,0.1,-4,0,-4,-0.2
De'Aaron Fox,21.8,0.599,30.1,5.5,1.8,7.4,3.4,-0.9,2.5,2.7
Markelle Fultz,16.6,0.564,21.3,1.7,2,3.7,-0.1,0.7,0.5,1.2
Wenyen Gabriel,14.4,0.626,14.1,1.5,1.3,2.8,-2.3,0.1,-2.2,-0.1
Daniel Gafford,19.7,0.739,15.2,4.2,1.9,6.1,0.4,0.6,1,1.2
Darius Garland,18.8,0.587,26.9,4.5,3,7.6,3.2,-0.7,2.4,2.7
Usman Garuba,12.9,0.569,10.5,0.9,0.9,1.8,-2,0.6,-1.4,0.2
Luka Garza,23,0.652,26.9,0.9,0.2,1.1,2.2,-2.6,-0.4,0.1
Rudy Gay,9,0.475,17.7,-0.4,0.7,0.3,-3.6,-0.4,-4,-0.4
Paul George,19.6,0.588,29.5,2.3,2.3,4.6,2.4,0.3,2.8,2.3
Taj Gibson,11.4,0.585,15.3,0.4,0.5,0.8,-3.6,0.5,-3.2,-0.1
Josh Giddey,17.1,0.533,24.6,1.3,2.7,4,1.5,-0.3,1.2,1.9
Shai Gilgeous-Alexander,27.2,0.626,32.8,8.4,3,11.4,5.7,1.5,7.3,5.6
Anthony Gill,11.1,0.604,12.3,1,0.4,1.3,-2.4,-0.9,-3.3,-0.2
Jacob Gilyard,7.3,0.5,5.1,0,0.1,0.1,-7.8,1.7,-6.1,0
Rudy Gobert,18.9,0.675,16.3,4.3,3.5,7.8,0,0.7,0.7,1.4
Jordan Goodwin,14.8,0.531,17.3,0.9,1.3,2.2,-0.7,1.4,0.7,0.8
Aaron Gordon,19.5,0.617,21.1,4.6,2.2,6.8,2.4,-0.3,2.1,2.1
Eric Gordon,11.8,0.587,17.8,1.8,0.5,2.3,-0.5,-1.4,-1.9,0.1
Devonte' Graham,12.5,0.552,17.1,1.5,1,2.5,0.1,-0.2,-0.1,0.6
Jerami Grant,16,0.606,22.8,3.1,1,4.1,1.2,-1.4,-0.2,1
RaiQuan Gray,15.5,0.621,21.4,0,0,0.1,-0.6,-1.4,-2,0
