Player,PER,TS%,TRB%,USG%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
Wenyen Gabriel,12.5,0.549,14.5,17.4,0.4,0.3,0.7,-3.7,-2.1,-5.9,-0.4
Daniel Gafford,21.8,0.708,15.6,16.7,4.4,1.6,6,1.1,0.5,1.6,1.3
Danilo Gallinari,14.3,0.579,10.1,18.4,2.8,0.8,3.6,1,-1.2,-0.2,0.8
Langston Galloway,0.7,0.269,9,12.8,-0.3,0.1,-0.2,-8,-1.8,-9.8,-0.2
Darius Garland,19,0.576,5.1,27.8,3.8,2.5,6.3,3.4,-0.8,2.6,2.8
Marcus Garrett,4.7,0.28,10.2,8.8,-0.1,0.2,0.1,-6.4,1,-5.4,-0.1
Rudy Gay,13,0.539,12.8,19.3,0.8,1.3,2.1,-0.7,-0.3,-1,0.3
Paul George,18.6,0.538,10.5,33.7,-0.6,1.9,1.3,1.8,1.9,3.7,1.6
Josh Giddey,13.3,0.478,12.7,22.2,-1.3,1.7,0.4,-1.2,0.3,-0.9,0.5
Shai Gilgeous-Alexander,20.9,0.557,7.4,30.8,2.8,1.8,4.6,2.9,0.5,3.4,2.7
Anthony Gill,14.7,0.682,10.2,14.4,1.1,0.2,1.4,-0.6,-1.3,-1.9,0
Rudy Gobert,24.7,0.732,25,16.9,7.3,4.3,11.7,2.9,1.7,4.6,3.6
Aaron Gordon,15.3,0.602,10.3,19.7,3.2,2,5.2,0.5,-1.1,-0.6,0.9
Eric Gordon,12.1,0.614,3.7,18.6,1.5,-0.1,1.4,-0.1,-2.2,-2.3,-0.1
Devonte' Graham,12.1,0.514,4.5,19.5,1.6,1.2,2.8,0.2,-1.2,-1,0.5
Jerami Grant,16.1,0.556,6.9,25.7,1.2,1.1,2.3,1.4,-0.2,1.2,1.2
Hassani Gravett,10.1,0.629,6.5,12.3,0.1,0.1,0.3,-2.4,0.2,-2.3,0
Danny Green,9.5,0.561,6.5,12.3,0.3,1.6,1.9,-1.4,0.8,-0.5,0.5
Draymond Green,14.3,0.582,13.8,14.3,0.8,2.8,3.6,-1.4,4.6,3.2,1.8
Jalen Green,12.5,0.547,5.8,23.7,0.5,0.2,0.7,-0.5,-2.4,-2.9,-0.5
JaMychal Green,14.1,0.587,14.5,17.2,1.2,1.4,2.7,-2,0.1,-1.8,0
Javonte Green,14,0.637,10.2,11.5,2.9,1.5,4.4,-0.6,0.7,0.1,0.8
Jeff Green,12.5,0.627,7,16.3,2.7,1.2,3.9,-1.2,-1.3,-2.5,-0.2
Josh Green,11.9,0.578,8.6,13.9,1,1.4,2.4,-2.4,1.4,-1,0.3
Blake Griffin,13.7,0.518,13,16.9,1.2,0.9,2.1,-0.6,0.1,-0.5,0.3
Quentin Grimes,10.7,0.565,6.4,15.1,0.6,0.9,1.4,-1.2,0.9,-0.3,0.3
Kyle Guy,9.5,0.526,5.2,19.9,-0.1,0.2,0.1,-3.1,-0.3,-3.4,-0.1
Rui Hachimura,14.9,0.579,9.4,20.9,0.9,0.6,1.4,0.2,-1.7,-1.4,0.1
Tyrese Haliburton,18.2,0.595,6.3,19,5.2,1.8,7,2.7,-0.1,2.6,3.1
Tyler Hall,0,,0,0,0,0,0,-8.1,-0.5,-8.5,0
R.J. Hampton,8.5,0.481,7.3,18.4,-1.3,1.1,-0.2,-4,-0.1,-4.1,-0.7
Tim Hardaway Jr.,12.7,0.52,7,22,0.5,1.5,2,-0.4,0.2,-0.2,0.6
James Harden,20.9,0.583,11.3,27.2,4.9,2.7,7.6,3.7,0.3,4,3.7
Maurice Harkless,7.7,0.561,7.1,11.2,-0.1,0.6,0.5,-3.7,0.4,-3.3,-0.3
Jared Harper,36.9,0.666,2.6,29.7,0.3,0.1,0.4,14.2,3.1,17.3,0.2
Montrezl Harrell,23.2,0.68,14.4,20.2,6.1,1.2,7.3,3.7,0.1,3.9,2.4
Gary Harris,10.9,0.571,3.7,16.4,1.1,1,2.2,-2,-0.4,-2.4,-0.2
Joe Harris,9.6,0.624,7.2,14.5,0.3,0.2,0.5,-0.9,-0.5,-1.4,0.1
Tobias Harris,15.9,0.566,10.9,21.7,3,2.6,5.6,0.6,-0.6,0,1.3
Shaquille Harrison,4.6,0.333,9.5,15,-0.1,0,0,-9,0.6,-8.3,0
Josh Hart,16.1,0.61,12,18.6,2.8,1.5,4.4,0.5,0.5,0.9,1.3
Isaiah Hartenstein,22,0.664,14.5,18.4,3.3,2.2,5.5,1.4,3.1,4.5,2
Udonis Haslem,8.6,0.495,17.1,20,-0.1,0.1,0.1,-6.4,-0.7,-7.1,-0.1
Sam Hauser,14.8,0.65,9.9,14.5,0.4,0.2,0.6,2.7,-0.3,2.3,0.2
Jaxson Hayes,18.5,0.68,12.5,16.4,3.7,1.3,5.1,0.6,-0.3,0.2,0.8
Killian Hayes,9.3,0.461,6.9,15.7,-1,1.5,0.5,-4.3,0.8,-3.5,-0.6
Gordon Hayward,15.1,0.57,7.6,20.7,1.9,1,2.8,0.1,-0.8,-0.7,0.5
Aaron Henry,-7.4,0.2,3.3,18.5,-0.1,0,-0.1,-14,-2.4,-16.5,-0.1
Juancho Hernangómez,11.5,0.542,12.2,13.4,0.3,0.6,0.9,-0.7,0.1,-0.6,0.2
Willy Hernangómez,22.2,0.582,22.3,22.5,2.2,0.9,3.2,1.8,-1.5,0.2,0.5
Tyler Herro,16.2,0.561,8.7,28.8,1.3,2.4,3.8,1.6,-0.9,0.7,1.5
Buddy Hield,12.9,0.548,7.8,22.4,0.8,1.1,1.9,0.5,-1.7,-1.2,0.5
Haywood Highsmith,7,0.446,9,14,0,0.2,0.1,-3.3,-1.3,-4.6,-0.1
George Hill,10.2,0.552,6.6,11.7,1.3,1,2.3,-2.2,0.6,-1.6,0.1
Solomon Hill,3.3,0.2,9.1,6.6,-0.1,0.1,0,-5.2,1.2,-4,-0.1
Nate Hinton,-45.2,0,0,42.8,-0.1,0,-0.1,-28.1,-14.5,-42.6,0
Jaylen Hoard,18,0.536,18,18.7,0.3,0.3,0.6,1.2,-2.1,-0.9,0.1
Jrue Holiday,19.8,0.593,7.2,23.5,4.5,2.4,6.9,2.9,0.3,3.2,2.9
Justin Holiday,9.5,0.543,5.1,15.8,0.8,0.6,1.4,-1.4,-0.8,-2.2,-0.1
Richaun Holmes,17.8,0.689,16.1,15.8,2.4,0.9,3.2,-0.4,-0.1,-0.5,0.4
Rodney Hood,7.2,0.493,5.8,10.7,0.2,0.5,0.7,-3,-0.3,-3.3,-0.2
Scotty Hopson,0.1,0.5,2.9,14.4,-0.1,0,0,-8.7,-2.9,-11.6,0
Al Horford,16.7,0.574,14.3,14.8,3.7,3.8,7.6,1.4,2.9,4.3,3.2
